TC ID,Test case name,Input length type,Input,Expected output,Actual output,Status,Accuracy justification/ Description of issue type,What is covered by the test
Pos_Fun_0004,Convert simple sentence with mixed case,S,Mama GEDHARA yanavaa.,මම ගෙදර යනවා.,,,Pass,The sentence is correctly converted to Sinhala. Mixed case handling works properly. Proper word segmentation maintained.,Daily language usage; Simple sentence; S (≤30 characters); Accuracy validation
Pos_Fun_0005,Convert compound sentence with time and numbers,M,"Api 3 ta cinema ekata yamu, iita passe 5.30 ta gedhara yamu.","අපි 3 ට cinema එකට යමු, ඊට පස්සෙ 5.30 ට ගෙදර යමු.","",Pass,Compound sentence structure preserved. Numbers (3, 5.30) correctly maintained. English word cinema appropriately handled.,Daily language usage; Compound sentence; M (31-299 characters); Accuracy validation
Pos_Fun_0006,Convert complex sentence with time and negation,M,"Oyaa 2:30 PM ta enavaa nam, mama gedhara inne.","ඔයා 2:30 PM ට එනවා නම්, මම ගෙදර ඉන්නේ.","",Pass,Complex sentence with condition handled correctly. Time format 2:30 PM preserved. Negation pattern converted accurately.,Punctuation / numbers; Complex sentence; M (31-299 characters); Formatting preservation
Pos_Fun_0007,Convert question with currency notation,S,Meeka Rs. 1500 k vatinavaada?,මේක Rs. 1500 ක් වටිනවාද?,,,Pass,Question form correctly converted. Currency format Rs. 1500 preserved. Question mark placement correct.,Punctuation / numbers; Interrogative (question); S (≤30 characters); Formatting preservation
Pos_Fun_0008,Convert command with place name,S,Colombo valata yanna.,Colombo වලට යන්න.,,,Pass,Command form correctly translated. Place name Colombo preserved as English. Imperative mood maintained.,Names / places / common English words; Imperative (command); S (≤30 characters); Accuracy validation
Pos_Fun_0009,Convert sentence with measurement unit,S,Mata 2 kg rice oona.,මට 2 kg rice ඕන.,,,Pass,Measurement unit 2 kg correctly preserved. English word rice maintained. Positive sentence structure correct.,Punctuation / numbers; Simple sentence; S (≤30 characters); Formatting preservation
Pos_Fun_0010,Convert negative sentence with technical term,S,Mata ID ekata photo upload karanna bae.,මට ID එකට photo upload කරන්න බෑ.,,,Pass,Negation correctly handled with bae. Technical terms ID photo upload preserved. Negative form accurately converted.,Mixed Singlish + English; Negation (negative form); S (≤30 characters); Accuracy validation
Pos_Fun_0011,Convert greeting with date format,S,2026-02-15 suBha aluth avuruddak!,2026-02-15 සුභ අලුත් අවුරුද්දක්!,,,Pass,Date format 2026-02-15 correctly preserved. Greeting phrase accurately converted. Exclamation mark placement correct.,Punctuation / numbers; Simple sentence; S (≤30 characters); Formatting preservation
Pos_Fun_0012,Convert polite request with email address,M,karuNaakaralaa mata email eka hasith@gmail.com valata evanna puluvandha?,කරුණාකරලා මට email එක හසිත්@gmail.com වලට එවන්න පුලුවන්ද?,,,Pass,Polite request form maintained. Email domain gmail.com preserved. Question structure correctly converted.,Mixed Singlish + English; Interrogative (question); M (31-299 characters); Accuracy validation
Pos_Fun_0013,Convert response with phone number,S,"Ow, mama mee nambareeta kiyannam (0771234567) .","Ow, මම මේ නම්බරේට කියන්නම් (0771234567) .","",Pass,Response form correctly handled. Phone number 0771234567 preserved. Conversational tone maintained.,Greeting / request / response; Simple sentence; S (≤30 characters); Formatting preservation
Pos_Fun_0014,Convert polite question with technical term,M,karuNaakaralaa WiFi password eka mata kiyanna puluvandha?,කරුණාකරලා WiFi password එක මට කියන්න පුලුවන්ද?,,,Pass,Polite phrasing accurately converted. Technical terms WiFi password preserved. Question format maintained.,Mixed Singlish + English; Interrogative (question); M (31-299 characters); Accuracy validation
Pos_Fun_0015,Convert informal slang expression,S,"Machan, supiri dha?","මචන්, සුපිරි ද?","",Pass,Informal slang machan correctly converted. Colloquial term supiri handled properly. Question mark placement accurate.,Slang / informal language; Interrogative (question); S (≤30 characters); Accuracy validation
Pos_Fun_0016,Convert sentence with banking term,S,Mata ATM PIN eka amathaka vuNaa.,මට ATM PIN එක අමතක වුණා,,,Pass,Technical banking terms ATM PIN preserved. Past tense vuna correctly converted. Sentence meaning accurately maintained.,Mixed Singlish + English; Past tense; S (≤30 characters); Accuracy validation
Pos_Fun_0017,Convert compound sentence with URL,M,"Website eka google.lk valata yanna, passe login venna.","Website එක google.lk වලට යන්න, පස්සෙ login වෙන්න.","",Pass,URL google.lk correctly preserved. Compound structure with two commands maintained. Technical terms handled appropriately.,Mixed Singlish + English; Compound sentence; M (31-299 characters); Formatting preservation
Pos_Fun_0018,Convert sentence with extra spaces,S,mata   tikak   udhav    karanna.,මට   ටිකක්   උදව්    කරන්න.,,,Pass,Multiple spaces handled without breaking conversion. Word spacing normalized appropriately. Sentence meaning retained.,Formatting (spaces / line breaks / paragraph); Simple sentence; S (≤30 characters); Robustness validation
Pos_Fun_0019,Convert repeated expression for emphasis,S,"gihilla enna, gihilla enna!","ගිහිල්ල එන්න, ගිහිල්ල එන්න!","",Pass,Repeated phrase correctly converted. Emphasis through repetition maintained. Imperative mood preserved.,Word combination / phrase pattern; Imperative (command); S (≤30 characters); Accuracy validation
Pos_Fun_0020,Convert past tense with technical abbreviation,S,Mata iiye OTP ekak email karala.,මට ඊයෙ OTP එකක් email කරල,,,Pass,Past tense indicator iye correctly converted. Technical term OTP preserved. Sentence structure accurate.,Mixed Singlish + English; Past tense; S (≤30 characters); Accuracy validation
Pos_Fun_0021,Convert present continuous with brand name,S,Mama dhaen Zoom call ekata join velaa.,මම දැන් Zoom call එකට join වෙලා.,,,Pass,Present continuous tense maintained. Brand name Zoom preserved. Technical term join handled correctly.,Mixed Singlish + English; Present tense; S (≤30 characters); Accuracy validation
Pos_Fun_0022,Convert future tense with technical term,S,Mama heta QR code eka scan karannam.,මම හෙට QR code එක scan කරන්නම්.,,,Pass,Future tense heta correctly converted. Technical term QR code scan preserved. Future intent clearly maintained.,Mixed Singlish + English; Future tense; S (≤30 characters); Accuracy validation
Pos_Fun_0023,Convert strong negation with abbreviation,S,Mata USB eka connect karanna epaa.,මට USB එක connect කරන්න එපා.,,,Pass,Strong negation epaa accurately converted. Technical abbreviation USB preserved. Negative command form correct.,Mixed Singlish + English; Negation (negative form); S (≤30 characters); Accuracy validation
Pos_Fun_0024,Convert singular pronoun with GPS term,S,Mama GPS use karan yanavaa.,මම GPS use කරන් යනවා.,,,Pass,Singular pronoun mama correctly converted. Technical term GPS use preserved. Present tense maintained.,Mixed Singlish + English; Pronoun variation (I/you/we/they); S (≤30 characters); Accuracy validation
Pos_Fun_0025,Convert plural pronoun with time and English term,M,Api 10:00 AM ta meeting ekata join vemu.,අපි 10:00 AM ට meeting එකට join වෙමු.,,,Pass,Plural pronoun api correctly handled. Time format 10:00 AM preserved. English terms maintained appropriately.,Mixed Singlish + English; Plural form; M (31-299 characters); Formatting preservation
Pos_Fun_0026,Convert polite request with file format term,M,karunakarala document eka PDF format valata convert karanna puluvandha?,කරුණාකරල document එක PDF format වලට convert කරන්න පුළුවන්ද?,,,Pass,Polite request form maintained. Technical terms document PDF convert preserved. Question structure accurate.,Mixed Singlish + English; Interrogative (question); M (31-299 characters); Accuracy validation
Pos_Fun_0027,Convert long technical paragraph,L,"Sri Lankawe jathika sanskrutika ha sramika sampradhayen pelapala jana sathkarayata laba dena purama lokaya ha bauddha dharma adhyayana kramayata anuva IT yugaye siddhiyan hata hatara viruddha veemath vechal novana siddhiyan ha sampath api upayog karagena nishpanna karanu labena avasthavedi ape deshapalana ha arthika nirmanaye siddhiyan sandaha API, cloud computing, blockchain, artificial intelligence wage nayaka teknologiyen upayog kirima sandaha kriyathmaka lesa udav karagena tibena IT ha software udavvidha novana siddhiyan hata hatara viruddha veemath vechal novana siddhiyan ha sampath api upayog karagena nishpanna karanu labena avasthavedi ape deshapalana ha arthika nirmanaye siddhiyan sandaha nayaka teknologiyen upayog kirima sandaha kriyathmaka lesa udav karagena tibena IT ha software udavvidha siyalla ape deshaye diga vishala vistarayata laba denu athi.","ශ්‍රී ලංකාවේ ජාතික සංස්කෘතික හා ශ්‍රමික සම්ප්‍රදායෙන් පෙළපල ජන සත්කාරයට ලබ දෙන පුරම ලෝකය හා බෞද්ධ ධර්ම අධ්‍යයන ක්‍රමයට අනුව IT යුගයේ සිද්ධියන් හට හතර විරුද්ධ වීමත් වෙචල් නොවන සිද්ධියන් හා සම්පත් අපි උපයෝග කරගෙන නිෂ්පන්න කරනු ලබෙන අවස්ථාවේදී අපේ දේශපාලන හා ආර්ථික නිර්මාණයේ සිද්ධියන් සඳහා API, cloud computing, blockchain, artificial intelligence වගේ නායක තෙක්නොලොගියෙන් උපයෝග කිරීම සඳහා ක්‍රියාත්මක ලෙස උදව් කරගෙන තිබෙන IT හා software උදව්විද්හ නොවන සිද්ධියන් හට හතර විරුද්ධ වීමත් වෙචල් නොවන සිද්ධියන් හා සම්පත් අපි උපයෝග කරගෙන නිෂ්පන්න කරනු ලබෙන අවස්ථාවේදී අපේ දේශපාලන හා ආර්ථික නිර්මාණයේ සිද්ධියන් සඳහා නායක තෙක්නොලොගියෙන් උපයෝග කිරීම සඳහා ක්‍රියාත්මක ලෙස උදව් කරගෙන තිබෙන IT හා software උදව්විද්හ සියල්ල අපේ දේශයේ දිග විශාල විස්තරයට ලබ දෙනු අති.","",Pass,Long paragraph with complex content converted. Technical English terms preserved throughout. Complex sentence structure maintained. Character count exceeds 300.,Mixed Singlish + English; Complex sentence; L (≥300 characters); Robustness validation
Neg_Fun_0001,Test with extreme special characters,S,!@#$%^&*()_+-=[]{}|;:,.<>?/~`,System does not handle pure special characters correctly,,,Fail,System produces garbled output or unexpected characters. Fails to provide meaningful error message. Should return empty or show validation error.,Typographical error handling; Simple sentence; S (≤30 characters); Error handling / input validation
Neg_Fun_0002,Test with malformed numbers,S,123.456.789.0,System produces unexpected output,,,Fail,Malformed numeric input converted incorrectly. System treats multiple decimals as valid input. Should validate number format.,Typographical error handling; Simple sentence; S (≤30 characters); Error handling / input validation
Neg_Fun_0003,Test SQL injection security,S,DROP TABLE users; SELECT * FROM admin,System does not validate input properly,,,Fail,System attempts to process SQL syntax. No input validation for code injection. Should reject or sanitize such inputs.,Typographical error handling; Simple sentence; M (31-299 characters); Error handling / input validation
Neg_Fun_0004,Test XSS security,S,"<script>alert(""XSS"")</script>",HTML tags not properly handled,,,Fail,System may interpret or render HTML tags. XSS vulnerability potential exists. Should escape all HTML entities.,Typographical error handling; Simple sentence; S (≤30 characters); Error handling / input validation
Neg_Fun_0005,Test with HTML markup,S,<b>bold</b> and <i>italic</i> text,HTML markup causes conversion issues,,,Fail,System confused by markup tags. Incorrect separation of tags and content. Should strip tags or validate input.,Typographical error handling; Simple sentence; S (≤30 characters); Error handling / input validation
Neg_Fun_0006,Test with URL encoded input,S,%20%2F%3F%26%3D%2B,URL encoding not decoded properly,,,Fail,System does not decode URL-encoded characters. Output contains raw encoded strings. Should either decode or reject invalid input.,Typographical error handling; Simple sentence; S (≤30 characters); Error handling / input validation
Neg_Fun_0007,Test with control characters,S,mama<U+0000>gedhara<U+0007>yanavaa,System should handle or strip control characters,,,Fail,Control characters may cause parsing issues. System may not properly handle null bytes. Potential string termination issues.,Typographical error handling; Simple sentence; S (≤30 characters); Robustness validation
Neg_Fun_0008,Test with very long repetitive input,L,ABCD1234!@#$ (repeated 50 times),System times out or becomes unresponsive,,,Fail,Long repetitive input causes performance degradation. System may freeze or timeout. Should have input length validation.,Typographical error handling; Simple sentence; L (≥300 characters); Robustness validation
Neg_Fun_0009,Test with multiple language scripts,L,hello 你好 नमस्ते 안녕하세요 مرحبا (repeated) + mama gedhara yanavaa,System may fail to convert non-Singlish scripts properly,,,Fail,Multiple non-Latin scripts cause confusion. Only Singlish portion may be converted. Mixed script handling is limited.,Typographical error handling; Complex sentence; L (≥300 characters); Robustness validation
Neg_Fun_0010,Test with binary pattern input,L,01010100 01100101 01110011 01110100 (repeated) + test data,Binary patterns cause unexpected behavior,,,Fail,System attempts to process binary as text. Produces garbled or nonsensical output. Should validate character encoding.,Typographical error handling; Complex sentence; L (≥300 characters); Robustness validation
Pos_UI_0001,Test input field functionality,S,api kandy valata yamuda aajnj,field should accept input and allow clearing,,,Pass,Input field accepts text properly. Text can be entered and displayed. Field can be cleared successfully. No UI freezing or lag.,Daily language usage; Simple sentence; S (≤30 characters); Real-time output update behavior
